"wordlist-id","sequence-number","word-id"
"693","12","5179"
"693","11","532"
"693","10","6880"
"693","9","4812"
"693","8","5377"
"693","7","8547"
"693","6","8367"
"693","5","1595"
"693","4","6454"
"693","3","9255"
"693","2","5423"
"693","1","7150"
"693","0","10358"
"692","29","4192"
"692","28","4640"
"692","27","9698"
"692","26","5760"
"692","25","8225"
"692","24","4252"
"692","23","4462"
"692","22","6910"
"692","21","5833"
"692","20","6165"
"692","19","1183"
"692","18","3535"
"692","17","4240"
"692","16","1123"
"692","15","3626"
"692","14","8999"
"692","13","10095"
"692","12","9591"
"692","11","5242"
"692","10","4394"
"692","9","4527"
"692","8","1199"
"692","7","7662"
"692","6","8943"
"692","5","1369"
"692","4","8579"
"692","3","1988"
"692","2","5864"
"692","1","2987"
"692","0","7213"
"691","29","9568"
"691","28","10203"
"661","23","5864"
"661","22","7923"
"661","21","8924"
"661","20","4650"
"661","19","628"
"661","18","497"
"661","17","7213"
"661","16","3317"
"661","15","7245"
"661","14","9657"
"661","13","785"
"661","12","3967"
"661","11","9308"
"661","10","46"
"661","9","4901"
"661","8","7540"
"661","7","3469"
"661","6","3076"
"661","5","1179"
"661","4","2661"
"661","3","10026"
"661","2","1483"
"661","1","6859"
"661","0","6869"
"660","5","1621"
"660","4","1951"
"660","3","1482"
"660","2","1949"
"660","1","1480"
"660","0","1583"
"659","39","1466"
"659","38","7432"
"659","37","5554"
"659","36","1924"
"659","35","1591"
"659","34","7434"
"659","33","3093"
"659","32","9791"
"659","31","6811"
"659","30","1235"
"659","29","6922"
"659","28","1925"
"659","27","14"
"659","26","3940"
"659","25","1489"
"659","24","2987"
"659","23","840"
"659","22","8056"
"659","21","4263"
"659","20","575"
"659","19","1441"
"659","18","5872"
"659","17","6900"
"659","16","1389"
"20","2","2727"
"659","15","904"
"659","14","1514"
"659","13","4110"
"659","12","6859"
"659","11","2663"
"659","10","10123"
"659","9","1408"
"659","8","7694"
"659","7","4935"
"659","6","9706"
"659","5","20448"
"658","23","8081"
"658","22","8116"
"658","21","8115"
"658","20","4630"
"658","19","8114"
"658","18","8113"
"658","17","419"
"658","16","8112"
"658","15","2723"
"658","14","153"
"658","13","811"
"658","12","8111"
"658","11","8110"
"658","10","1568"
"658","9","7738"
"658","8","687"
"658","7","4522"
"658","6","8109"
"658","5","5639"
"658","4","8108"
"658","3","8107"
"658","2","279"
"658","1","4561"
"658","0","4744"
"657","23","5825"
"657","22","8106"
"657","21","4192"
"657","20","673"
"657","19","362"
"657","18","7370"
"657","17","8105"
"657","16","589"
"657","15","2976"
"657","14","8103"
"657","13","8102"
"657","12","4207"
"657","11","4988"
"657","10","8101"
"657","9","8100"
"657","8","8099"
"657","7","8098"
"657","6","4202"
"657","5","3093"
"657","4","8097"
"657","3","8096"
"657","2","8095"
"657","1","3455"
"657","0","8094"
"656","23","654"
"656","22","2915"
"656","21","1974"
"656","20","419"
"656","19","6177"
"656","18","6174"
"656","17","3167"
"656","16","3273"
"656","15","3460"
"656","14","2968"
"656","13","6140"
"656","12","426"
"656","11","2982"
"656","10","6196"
"656","9","438"
"656","8","6189"
"656","7","578"
"656","6","6186"
"656","5","1308"
"656","4","303"
"20","1","2726"
"656","3","6184"
"656","2","1293"
"656","1","10142"
"656","0","502"
"655","23","6172"
"655","22","3455"
"655","21","6166"
"655","20","1015"
"655","19","3453"
"655","18","6165"
"655","17","6164"
"655","16","596"
"655","15","4394"
"655","14","2912"
"655","13","4732"
"655","12","6160"
"655","11","422"
"655","10","6156"
"655","9","6153"
"655","8","6150"
"655","7","6145"
"655","6","6144"
"655","5","6142"
"655","4","6134"
"655","3","453"
"655","2","6157"
"655","1","6149"
"655","0","3558"
"654","23","490"
"654","22","488"
"654","21","487"
"654","20","482"
"654","19","479"
"654","18","476"
"654","17","473"
"654","16","471"
"654","15","470"
"654","14","7351"
"654","13","466"
"654","12","465"
"654","11","463"
"654","10","457"
"654","9","454"
"654","8","453"
"654","7","452"
"654","6","451"
"654","5","448"
"654","4","446"
"654","3","444"
"654","2","443"
"654","1","439"
"654","0","438"
"653","23","436"
"653","22","435"
"653","21","433"
"653","20","432"
"653","19","431"
"653","18","429"
"653","17","426"
"653","16","425"
"653","15","33"
"653","14","423"
"653","13","422"
"653","12","419"
"653","11","418"
"653","10","417"
"653","9","416"
"653","8","410"
"653","7","409"
"653","6","407"
"653","5","406"
"653","4","405"
"653","3","403"
"653","2","402"
"653","1","400"
"653","0","398"
"2959","1","1381"
"3","59","506"
"3","58","153"
"3","57","505"
"3","56","503"
"3","55","502"
"3","54","501"
"3","53","500"
"3","52","498"
"3","51","497"
"3","50","495"
"3","49","493"
"3","48","492"
"3","47","491"
"3","46","490"
"3","45","488"
"3","44","487"
"3","43","482"
"3","42","479"
"3","41","476"
"3","40","473"
"3","39","471"
"3","38","470"
"3","37","466"
"3","36","465"
"3","35","463"
"3","34","457"
"3","33","454"
"3","32","453"
"3","31","452"
"3","30","451"
"3","29","448"
"3","28","446"
"691","1","554"
"691","0","6911"
"654","24","491"
"653","24","437"
"690","24","418"
"690","23","1331"
"690","22","1245"
"690","21","1244"
"690","20","806"
"690","19","939"
"690","18","938"
"690","17","910"
"690","16","948"
"690","15","817"
"690","14","816"
"690","13","973"
"690","12","856"
"690","11","20"
"690","10","1104"
"690","9","425"
"690","8","972"
"690","7","1080"
"690","6","1082"
"690","5","1330"
"690","4","1019"
"690","3","1350"
"690","2","1186"
"690","1","826"
"690","0","843"
"689","24","955"
"689","23","1191"
"689","22","1115"
"689","21","1114"
"689","20","1083"
"689","19","501"
"689","18","716"
"689","17","1284"
"689","16","1020"
"689","15","1242"
"689","14","1363"
"689","13","1091"
"689","12","929"
"689","11","1313"
"689","10","852"
"689","9","1311"
"689","8","942"
"689","7","686"
"689","6","1251"
"689","5","1326"
"689","4","1017"
"689","3","1258"
"689","2","845"
"689","1","872"
"689","0","53"
"688","24","418"
"688","23","1331"
"688","22","1245"
"688","21","1244"
"688","20","806"
"688","19","939"
"688","18","938"
"688","17","910"
"688","16","948"
"688","15","817"
"688","14","816"
"688","13","973"
"688","12","856"
"688","11","20"
"688","10","1104"
"688","9","425"
"688","8","972"
"688","7","1080"
"688","6","1082"
"688","5","1330"
"688","4","1019"
"688","3","1350"
"688","2","1186"
"688","1","826"
"688","0","843"
"687","24","804"
"687","23","803"
"687","22","802"
"687","21","801"
"687","20","284"
"687","19","793"
"687","18","792"
"687","17","791"
"687","16","787"
"687","15","786"
"687","14","784"
"687","13","1976"
"687","12","776"
"687","11","770"
"687","10","768"
"687","9","767"
"687","8","765"
"687","7","764"
"687","6","1975"
"687","5","762"
"687","4","1973"
"687","3","759"
"687","2","443"
"687","1","757"
"687","0","353"
"686","24","1433"
"686","23","1432"
"686","22","285"
"686","21","1678"
"686","20","1311"
"686","19","1429"
"686","18","1428"
"686","17","1423"
"686","16","1417"
"686","15","39"
"686","14","1413"
"686","13","53"
"686","12","37"
"686","11","1673"
"686","10","1409"
"686","9","1672"
"686","8","1245"
"686","7","1401"
"686","6","1400"
"686","5","1399"
"686","4","1006"
"686","3","1157"
"686","2","1393"
"686","1","1104"
"686","0","17"
"685","24","1475"
"685","23","1474"
"685","22","1473"
"685","21","1472"
"685","20","1470"
"685","19","1468"
"685","18","1636"
"685","17","1464"
"685","16","1463"
"685","15","1462"
"685","14","1460"
"685","13","1459"
"685","12","910"
"685","11","1455"
"685","10","1454"
"685","9","1453"
"685","8","830"
"685","7","1452"
"685","6","1190"
"685","5","1449"
"685","4","872"
"685","3","1223"
"685","2","1445"
"685","1","302"
"685","0","718"
"684","24","926"
"684","23","1476"
"684","22","1563"
"684","21","1590"
"684","20","492"
"684","19","895"
"684","18","1589"
"684","17","1505"
"684","16","1598"
"684","15","1511"
"684","14","1588"
"684","13","1610"
"684","12","1575"
"684","11","1192"
"684","10","1510"
"684","9","1519"
"684","8","2732"
"684","7","1494"
"684","6","1538"
"684","5","1527"
"684","4","1556"
"684","3","1604"
"684","2","1539"
"684","1","845"
"684","0","1509"
"683","24","1964"
"683","23","1513"
"683","22","1508"
"683","21","1093"
"683","20","813"
"683","19","14289"
"683","18","1502"
"683","17","1501"
"683","16","1500"
"683","15","1254"
"683","14","896"
"683","13","1591"
"683","12","1607"
"683","11","1348"
"683","10","3226"
"683","9","1581"
"683","8","1564"
"683","7","1576"
"683","6","1484"
"683","5","1541"
"683","4","1481"
"683","3","7492"
"683","2","1496"
"683","1","1479"
"683","0","1478"
"682","29","1244"
"682","28","3178"
"682","27","830"
"682","26","1178"
"682","25","3173"
"682","24","3171"
"682","23","3167"
"682","22","3166"
"682","21","1183"
"682","20","3154"
"682","19","3163"
"682","18","2694"
"682","17","3162"
"682","16","1745"
"682","15","3159"
"682","14","3158"
"682","13","3157"
"682","12","3155"
"682","11","3153"
"682","10","3152"
"682","9","3151"
"682","8","3150"
"682","7","1126"
"682","6","262"
"682","5","3148"
"682","4","2957"
"682","3","3144"
"682","2","3143"
"682","1","41"
"682","0","3142"
"681","29","3141"
"681","28","3140"
"681","27","3139"
"681","26","3138"
"681","25","3137"
"681","24","1344"
"681","23","3136"
"681","22","3135"
"681","21","3134"
"681","20","3133"
"681","19","3131"
"681","18","3129"
"681","17","3128"
"681","16","2718"
"681","15","1759"
"681","14","1788"
"681","13","2806"
"681","12","3126"
"681","11","3125"
"681","10","3124"
"681","9","3093"
"681","8","1135"
"681","7","3123"
"681","6","3122"
"681","5","3121"
"681","4","2662"
"681","3","3120"
"681","2","16"
"681","1","3119"
"681","0","3118"
"810","0","7087"
"680","19","5264"
"680","18","5261"
"680","17","7202"
"680","16","4501"
"680","15","5260"
"680","14","5259"
"680","13","785"
"680","12","5258"
"680","11","7205"
"680","10","4075"
"680","9","7203"
"680","8","5257"
"680","7","7204"
"680","6","7201"
"680","5","2944"
"680","4","5256"
"680","3","1793"
"680","2","7190"
"680","1","1515"
"680","0","5255"
"679","20","5281"
"679","19","5280"
"679","18","5279"
"679","17","6596"
"679","16","7187"
"534","0","1447"
"679","15","3701"
"679","14","3227"
"679","13","5275"
"679","12","5274"
"679","11","1884"
"679","10","5273"
"679","9","5272"
"679","8","3751"
"679","7","5270"
"679","6","5269"
"679","5","5268"
"679","4","5267"
"679","3","5266"
"679","2","1714"
"679","1","5265"
"679","0","2661"
"678","23","851"
"678","22","5778"
"678","21","4409"
"678","20","5777"
"678","19","1337"
"678","18","5774"
"678","17","5773"
"678","16","5772"
"678","15","5771"
"678","14","5770"
"678","13","574"
"678","12","5767"
"678","11","3020"
"678","10","4066"
"678","9","396"
"678","8","5763"
"678","7","5762"
"678","6","4938"
"678","5","4722"
"678","4","5761"
"678","3","5760"
"678","2","809"
"678","1","804"
"678","0","943"
"677","23","3916"
"677","22","450"
"677","21","5757"
"677","20","5756"
"677","19","3091"
"677","18","1550"
"677","17","523"
"677","16","4525"
"677","15","5752"
"677","14","3076"
"677","13","3217"
"677","12","5797"
"677","11","5749"
"677","10","3852"
"677","9","4080"
"677","8","5747"
"677","7","3275"
"677","6","517"
"677","5","5793"
"677","4","5744"
"677","3","3157"
"677","2","1249"
"677","1","2661"
"677","0","5741"
"676","23","8060"
"676","22","8059"
"676","21","4056"
"676","20","8058"
"676","19","8056"
"676","18","3451"
"676","17","8055"
"676","16","4258"
"676","15","4405"
"676","14","4240"
"676","13","8054"
"676","12","8053"
"676","11","4796"
"676","10","5386"
"676","9","5390"
"676","8","5028"
"676","7","5314"
"676","6","5388"
"676","5","1988"
"676","4","2996"
"676","3","4973"
"676","2","4201"
"676","1","8052"
"676","0","3679"
"675","23","6397"
"675","22","3883"
"675","21","3226"
"675","20","8051"
"675","19","8050"
"675","18","3435"
"675","17","8049"
"675","16","5854"
"675","15","8048"
"675","14","1148"
"675","13","4181"
"675","12","1365"
"675","11","8047"
"675","10","8046"
"675","9","1081"
"675","8","4398"
"675","7","8045"
"675","6","2936"
"675","5","8044"
"675","4","954"
"675","3","1270"
"675","2","8043"
"675","1","1057"
"675","0","5423"
"674","23","8335"
"674","22","7628"
"674","21","4611"
"674","20","8334"
"674","19","3909"
"674","18","8332"
"674","17","8331"
"674","16","4652"
"674","15","8329"
"674","14","8328"
"674","13","8327"
"674","12","6021"
"674","11","8326"
"674","10","4937"
"674","9","8325"
"674","8","5003"
"674","7","8324"
"674","6","3093"
"674","5","8322"
"674","4","365"
"674","3","8321"
"674","2","699"
"674","1","3560"
"674","0","4689"
"673","23","4824"
"673","22","4569"
"673","21","1988"
"673","20","8320"
"673","19","1206"
"673","18","8318"
"673","17","8317"
"673","16","8316"
"673","15","7441"
"673","14","8315"
"673","13","502"
"673","12","7370"
"673","11","2708"
"673","10","8314"
"673","9","8313"
"673","8","8312"
"673","7","5609"
"673","6","4651"
"673","5","4744"
"673","4","358"
"673","3","1376"
"673","2","4880"
"673","1","6510"
"673","0","4262"
"670","23","1773"
"670","22","1751"
"672","23","4677"
"672","22","7625"
"672","21","5039"
"672","20","7624"
"672","19","506"
"672","18","4944"
"672","17","1120"
"672","16","6514"
"672","15","7623"
"672","14","7622"
"672","13","7621"
"672","12","7620"
"672","11","4053"
"672","10","2919"
"672","9","6367"
"672","8","7619"
"672","7","4243"
"672","6","7618"
"672","5","7617"
"672","4","7616"
"672","3","7615"
"672","2","670"
"672","1","7614"
"672","0","488"
"671","23","1261"
"671","22","389"
"671","21","1260"
"671","20","520"
"671","19","7613"
"671","18","854"
"671","17","1962"
"671","16","4420"
"671","15","4712"
"671","14","7114"
"671","13","1429"
"671","12","44"
"671","11","7612"
"671","10","7611"
"671","9","7353"
"671","8","7610"
"671","7","5609"
"671","6","3589"
"671","5","7609"
"671","4","262"
"671","3","1350"
"671","2","3215"
"671","1","3135"
"671","0","7608"
"670","21","1791"
"670","20","1795"
"670","19","1709"
"670","18","1777"
"670","17","1754"
"670","16","1730"
"670","15","1761"
"670","14","1866"
"670","13","1803"
"670","12","1690"
"670","11","1742"
"670","10","1685"
"670","9","1732"
"670","8","1828"
"670","7","1704"
"670","6","1835"
"670","5","1816"
"670","4","1854"
"670","3","1727"
"670","2","1772"
"670","1","1706"
"670","0","1868"
"669","23","1750"
"669","22","1851"
"669","21","1755"
"669","20","1765"
"669","19","1811"
"669","18","1771"
"669","17","1717"
"669","16","1748"
"669","15","1747"
"669","14","1875"
"669","13","1809"
"669","12","1745"
"669","11","1814"
"669","10","1878"
"669","9","1790"
"669","8","1804"
"669","7","1855"
"669","6","1737"
"669","5","1689"
"669","4","1736"
"669","3","1844"
"669","2","1853"
"669","1","1710"
"669","0","1850"
"668","23","1778"
"668","22","1815"
"668","21","1744"
"668","20","1693"
"668","19","1764"
"668","18","1831"
"668","17","1768"
"668","16","1697"
"668","15","1770"
"668","14","1775"
"668","13","1722"
"668","12","1759"
"668","11","1799"
"668","10","1787"
"668","9","1832"
"668","8","1683"
"668","7","1823"
"668","6","1723"
"668","5","1757"
"668","4","1830"
"668","3","1734"
"668","2","1714"
"668","1","1807"
"668","0","1842"
"667","23","1789"
"667","22","1819"
"667","21","1783"
"667","20","1780"
"667","19","1784"
"667","18","1708"
"667","17","1788"
"667","16","1813"
"667","15","1793"
"667","14","714"
"667","13","713"
"667","12","1692"
"667","11","1801"
"667","10","1740"
"667","9","1779"
"667","8","1817"
"667","7","1756"
"667","6","1712"
"667","5","1879"
"667","4","1825"
"667","3","1840"
"667","2","1821"
"667","1","1846"
"667","0","1728"
"666","34","10585"
"666","33","986"
"666","32","9263"
"666","31","1478"
"666","30","8550"
"666","29","8438"
"666","28","1591"
"666","27","9036"
"666","26","10091"
"666","25","1548"
"666","24","3025"
"666","23","10318"
"666","22","3748"
"666","21","3505"
"666","20","8504"
"666","19","1644"
"649","49","418"
"649","48","1331"
"649","47","1245"
"649","46","1244"
"649","45","806"
"649","44","939"
"649","43","938"
"649","42","910"
"649","41","948"
"649","40","817"
"649","39","816"
"649","38","973"
"649","37","856"
"649","36","20"
"649","35","1104"
"649","34","425"
"649","33","972"
"649","32","1080"
"649","31","1082"
"649","30","1330"
"649","29","1019"
"649","28","1350"
"649","27","1186"
"649","26","826"
"649","25","843"
"649","24","955"
"649","23","1191"
"649","22","1115"
"649","21","1114"
"649","20","1083"
"649","19","501"
"649","18","716"
"649","17","1284"
"649","16","1020"
"649","15","1242"
"649","14","1363"
"649","13","1091"
"649","12","929"
"649","11","1313"
"649","10","852"
"649","9","1311"
"649","8","942"
"649","7","686"
"649","6","1251"
"649","5","1326"
"649","4","1017"
"649","3","1258"
"649","2","845"
"649","1","872"
"11","37","2054"
"649","0","53"
"4","49","804"
"4","48","803"
"4","47","802"
"4","46","801"
"4","45","284"
"4","44","793"
"4","43","792"
"4","42","791"
"4","41","787"
"4","40","786"
"4","39","784"
"4","38","1976"
"4","37","776"
"4","36","770"
"4","35","768"
"4","34","767"
"4","33","765"
"4","32","764"
"4","31","1975"
"4","30","762"
"4","29","1973"
"4","28","759"
"4","27","443"
"4","26","757"
"4","25","353"
"4","24","748"
"4","23","518"
"4","22","746"
"4","21","745"
"4","20","741"
"4","19","739"
"4","18","402"
"4","17","735"
"4","16","734"
"4","15","1971"
"4","14","1968"
"4","13","731"
"4","12","730"
"4","11","725"
"4","10","724"
"4","9","1969"
"4","8","1212"
"4","7","704"
"4","6","720"
"4","5","719"
"4","4","718"
"4","3","717"
"4","2","707"
"4","1","705"
"3","27","444"
"3","26","443"
"3","25","439"
"3","24","438"
"3","23","437"
"3","22","436"
"3","21","435"
"3","20","433"
"3","19","432"
"3","18","1031"
"3","17","2974"
"3","16","426"
"3","15","425"
"3","14","423"
"3","13","422"
"3","12","419"
"3","11","418"
"3","10","417"
"3","9","416"
"3","8","410"
"3","7","409"
"3","6","407"
"3","5","406"
"3","4","405"
"3","3","403"
"3","2","402"
"31","0","3020"
"88","2","5945"
"88","1","718"
"88","0","5150"
"459","0","11116"
"457","129","1877"
"532","59","20109"
"526","49","1857"
"531","29","1271"
"547","1","1591"
"547","0","1923"
"666","18","6922"
"666","17","6909"
"666","16","3075"
"666","15","8026"
"666","14","7730"
"666","13","7892"
"666","12","1391"
"666","11","11095"
"666","10","3302"
"666","9","928"
"666","8","9275"
"666","7","6905"
"666","6","3572"
"666","5","1860"
"666","4","11314"
"666","3","9474"
"666","2","8204"
"666","1","10507"
"666","0","3633"
"665","59","506"
"665","58","153"
"665","57","505"
"665","56","503"
"665","55","502"
"665","54","501"
"665","53","500"
"665","52","498"
"665","51","497"
"665","50","495"
"665","49","493"
"665","48","492"
"665","47","491"
"665","46","490"
"665","45","488"
"665","44","487"
"665","43","482"
"665","42","479"
"665","41","476"
"665","40","473"
"665","39","471"
"665","38","470"
"665","37","466"
"665","36","465"
"665","35","463"
"665","34","457"
"665","33","454"
"665","32","453"
"665","31","452"
"665","30","451"
"665","29","448"
"665","28","446"
"665","27","444"
"665","26","443"
"665","25","439"
"665","24","438"
"665","23","437"
"665","22","436"
"665","21","435"
"665","20","433"
"665","19","432"
"665","18","431"
"665","17","429"
"665","16","426"
"665","15","425"
"665","14","423"
"665","13","422"
"665","12","419"
"665","11","418"
"665","10","417"
"665","9","416"
"665","8","410"
"665","7","409"
"665","6","407"
"665","5","406"
"665","4","405"
"665","3","403"
"665","2","402"
"665","1","400"
"665","0","398"
"4420","19","22132"
"4420","18","17506"
"4420","17","20698"
"4420","16","22687"
"4420","15","6105"
"4420","14","20010"
"4420","13","1772"
"4420","12","22686"
"4420","11","22685"
"4420","10","22684"
"4420","9","8148"
"4420","8","19964"
"4420","7","3033"
"4420","6","6064"
"4420","5","9706"
"4420","4","3110"
"4420","3","22683"
"4420","2","22682"
"4420","1","21729"
"4420","0","22681"
"663","39","1400"
"663","38","582"
"663","37","628"
"663","36","3167"
"663","35","6859"
"663","34","5857"
"663","33","1201"
"663","32","806"
"663","31","8564"
"663","30","3589"
"663","29","11068"
"663","28","7427"
"663","27","8731"
"663","26","8434"
"663","25","6541"
"663","24","3085"
"663","23","8999"
"663","22","10117"
"663","21","2656"
"663","20","7334"
"663","19","3113"
"663","18","4690"
"663","17","3025"
"663","16","1185"
"663","15","358"
"663","14","9256"
"663","13","9480"
"663","12","7441"
"663","11","8281"
"663","10","2693"
"663","9","4928"
"663","8","1943"
"663","7","8489"
"663","6","2718"
"663","5","7377"
"663","4","8032"
"663","3","5407"
"663","2","1588"
"663","1","6448"
"663","0","3226"
"662","39","4923"
"662","38","8536"
"662","37","3206"
"662","36","10745"
"662","35","1727"
"662","34","3878"
"662","33","1952"
"662","32","11208"
"662","31","5257"
"662","30","9263"
"662","29","3150"
"662","28","4935"
"662","27","2966"
"662","26","1627"
"662","25","4420"
"662","24","1742"
"662","23","664"
"662","22","8771"
"662","21","8473"
"662","20","4240"
"662","19","558"
"662","18","3481"
"662","17","3028"
"662","16","517"
"662","15","5860"
"662","14","9572"
"662","13","825"
"662","12","9670"
"662","11","10395"
"662","10","1635"
"662","9","4098"
"662","8","2661"
"662","7","10845"
"662","6","6305"
"662","5","1606"
"662","4","6874"
"662","3","7453"
"662","2","9723"
"662","1","1887"
"661","29","4462"
"661","28","3268"
"661","27","4482"
"661","26","9804"
"661","25","9979"
"661","24","5270"
"652","9","482"
"652","8","612"
"652","7","22"
"652","6","2700"
"652","5","8172"
"652","4","7441"
"652","3","1142"
"652","2","3589"
"652","1","9672"
"652","0","9574"
"651","25","3163"
"651","24","8413"
"651","23","8379"
"651","22","5784"
"651","21","3108"
"651","20","2940"
"651","19","4244"
"651","18","4164"
"651","17","1319"
"651","16","4883"
"651","15","9282"
"651","14","7356"
"651","13","33"
"651","12","745"
"651","11","4394"
"651","10","9291"
"651","9","10492"
"651","8","4468"
"651","7","3226"
"651","6","4635"
"651","5","6403"
"651","4","4133"
"651","3","6350"
"651","2","3504"
"651","1","5270"
"651","0","10127"
"6078","1","17"
"650","49","1514"
"650","48","1513"
"650","47","1508"
"650","46","1093"
"650","45","813"
"650","44","1503"
"650","43","1502"
"650","42","1501"
"650","41","1500"
"650","40","896"
"650","39","1591"
"650","38","1607"
"650","37","1348"
"650","36","1599"
"650","35","1581"
"650","34","1564"
"650","33","1576"
"650","32","1484"
"650","31","1541"
"650","30","1481"
"650","29","1480"
"650","28","1496"
"650","27","1479"
"650","26","1478"
"650","25","926"
"650","24","1476"
"650","23","1563"
"650","22","1590"
"650","21","492"
"650","20","895"
"650","19","1589"
"650","18","1505"
"650","17","1598"
"650","16","1511"
"650","15","1588"
"650","14","1610"
"650","13","1575"
"650","12","1192"
"650","11","1510"
"650","10","53"
"650","9","1519"
"650","8","1540"
"650","7","1494"
"650","6","1538"
"650","5","1527"
"650","4","1556"
"650","3","1604"
"650","2","1539"
"650","1","845"
"5","49","1254"
"5","48","1475"
"5","47","1474"
"5","46","1473"
"5","45","1472"
"5","44","1470"
"5","43","1468"
"5","42","1636"
"5","41","1464"
"5","40","1463"
"5","39","1462"
"5","38","1460"
"5","37","1459"
"5","36","910"
"5","35","1455"
"5","34","1454"
"5","33","1453"
"5","32","830"
"5","31","1452"
"5","30","1190"
"5","29","1449"
"5","28","872"
"5","27","1223"
"5","26","1445"
"5","25","302"
"5","24","718"
"5","23","1433"
"5","22","1432"
"5","21","285"
"5","20","1678"
"5","19","1311"
"5","18","1429"
"5","17","1428"
"5","16","1423"
"5","15","1417"
"5","14","39"
"5","13","1413"
"5","12","37"
"5","11","1673"
"5","10","1409"
"5","9","1672"
"5","8","1245"
"5","7","1401"
"5","6","1400"
"571","53","1028"
"5","5","1399"
"5","4","1006"
"5","3","1157"
"3","1","400"
"571","52","1827"
"571","51","1865"
"571","50","1794"
"571","49","1796"
"571","48","1715"
"571","47","1856"
"571","46","1829"
"571","45","1874"
"571","44","1849"
"571","43","1774"
"571","42","1702"
"571","41","1760"
"571","40","1845"
"571","39","1876"
"571","38","1863"
"571","37","1749"
"571","36","1729"
"571","35","1826"
"571","34","1700"
"571","33","1782"
"571","32","1720"
"571","31","1862"
"571","30","162"
"571","29","1705"
"571","28","1701"
"571","27","1860"
"571","26","1859"
"571","25","1781"
"571","24","1688"
"571","23","1810"
"571","22","1797"
"571","21","1858"
"571","20","1802"
"571","19","285"
"571","18","1703"
"571","17","1724"
"571","16","1822"
"571","15","1743"
"571","14","1841"
"571","13","1762"
"571","12","1792"
"571","11","1837"
"571","10","1836"
"571","9","1735"
"571","8","1873"
"571","7","1786"
"571","6","1767"
"571","5","1818"
"571","4","1695"
"571","3","1870"
"571","2","1852"
"571","1","1785"
"571","0","1684"
"570","59","1694"
"570","58","1719"
"570","57","1833"
"570","56","1877"
"570","55","1687"
"570","54","1682"
"570","53","1812"
"570","52","1721"
"570","51","1733"
"570","50","1838"
"570","49","1731"
"570","48","1820"
"570","47","1746"
"570","46","1848"
"570","45","1752"
"570","44","1769"
"570","43","1686"
"570","42","1696"
"570","41","1763"
"570","40","1839"
"570","39","1808"
"570","38","1718"
"570","37","1800"
"570","36","1739"
"570","35","1773"
"570","34","1751"
