0 & 1,wordlist-id,wordlist,spelldoctor
0,6634,"zz-movement, motion; moving",spelldoctor
0,6635,"zz-to steal, cheat",spelldoctor
0,6636,zz-sloping region or zone of the earth; ladder ; lean,spelldoctor
0,6637,"zz-common, shared",spelldoctor
0,6638,"zz-hit, cuff, blow",spelldoctor
0,6639,"zz-a merry-making, revel, celebration",spelldoctor
0,6640,zz-cone,spelldoctor
0,6641,"zz-universe, order, skillfully arranged, adornment",spelldoctor
0,6642,zz-skull,spelldoctor
0,6643,zz-rule,spelldoctor
0,6644,"zz-judge, separate, decide",spelldoctor
0,6645,"zz-ice, cold, crystal, freeze, transparent",spelldoctor
0,6646,"zz-hide, hidden, secret, stealth",spelldoctor
0,6647,"zz-circle, ring, wheel",spelldoctor
0,6648,"zz-dog, dogs",spelldoctor
0,6649,"zz-lord, master, lord's house",spelldoctor
0,6650,"zz-container, vessel",spelldoctor
0,6651,"zz-work, toil",spelldoctor
0,6652,"zz-slip, fall, descend",spelldoctor
0,6653,zz-milk,spelldoctor
0,6654,"zz-pleasure, delight, please, entice, love, snare, rope, lure",spelldoctor
0,6655,zz-tears,spelldoctor
0,6656,"zz-lake, hole, gap, pond",spelldoctor
0,6657,"zz-harm, hurt, strike",spelldoctor
0,6658,"zz-be sluggish, wilt, lack vigor",spelldoctor
0,6659,"zz-dish, plate; one of the scales of a balance",spelldoctor
0,6660,zz-stone,spelldoctor
0,6661,"zz-generous, bountiful",spelldoctor
0,6662,zz-weary,spelldoctor
0,6663,"zz-to lie hidden, lurk",spelldoctor
0,6664,zz-from the district in which Rome was situated,spelldoctor
0,6665,zz-wide,spelldoctor
0,6666,"zz-side, flank",spelldoctor
0,6667,"zz-praise, allot, grant",spelldoctor
0,6668,"zz-wash, bathe",spelldoctor
0,6669,"zz-slack, loose, open, undo, take one's ease",spelldoctor
0,6671,"zz-gather together, collect, choose, take, speak, read, story",spelldoctor
0,6672,"zz-mitigate, allay, ease; smooth, soft, calm",spelldoctor
0,6673,"zz-light in weight; to raise, to lift, to remove",spelldoctor
0,6674,"zz-law, rule, legal right, dispute, lawsuit",spelldoctor
0,6675,zz-free,spelldoctor
0,6676,"zz-book, reading",spelldoctor
0,6677,"zz-balance, scales; to be balanced; to weigh; level, to make even",spelldoctor
0,6678,"zz-to be allowed; permitted; unrestrained, run, run wild",spelldoctor
0,6680,"zz-threshold, doorway, boundary, point at which something changes ",spelldoctor
0,6681,"zz-tongue, language",spelldoctor
0,6682,"zz-leave, abandon, forsake",spelldoctor
0,6683,"zz-flax, thread, line, string, cord, net",spelldoctor
0,6684,"zz-to flow, to be liquid, extensive, lengthy",spelldoctor
0,6685,"zz-letters, writings",spelldoctor
0,6686,"zz-place, from place to place",spelldoctor
0,6687,"zz-long, stretched out, far",spelldoctor
0,6688,"zz-speak, talk",spelldoctor
0,6689,"zz-oily, slippery, slimy, ointment",spelldoctor
0,6690,"zz-gain, profit",spelldoctor
0,6691,"zz-struggle, fight against",spelldoctor
0,6692,"zz-play, performance, game; to play, make fun of, trick",spelldoctor
0,6693,"zz-mourn, lament, bewail",spelldoctor
0,6694,"zz-light, glow",spelldoctor
0,6695,zz-moon,spelldoctor
0,6696,zz-wolf,spelldoctor
0,6697,"zz-illuminate, purify, brighten",spelldoctor
0,6698,"zz-light, brightness, clarity; to shine",spelldoctor
0,6699,"zz-soft-living, sumptuousness",spelldoctor
0,6700,"zz-take, seize, hold, accept; something taken, premise",spelldoctor
0,6702,"zz-worship, servitude",spelldoctor
